"district","hh_id","shed","q1","q1a","q1b","consent","mcc.q4","mcc.q5","mcc.secB_group.b01","mcc.secB_group.b02.5","mcc.secB_group.b02.6","mcc.secB_group.b02.7","mcc.secB_group.b02.99","mcc.secB_group.b03","mcc.secB_group.b04","mcc.secB_group.b05.1","mcc.secB_group.b05.2","mcc.secB_group.b05.3","mcc.secB_group.b05.4","mcc.secB_group.b05.5","mcc.secB_group.b05.6","mcc.secB_group.b05.7","mcc.secB_group.b05.8","mcc.secB_group.b05.96","mcc.secC_group.q6","mcc.secC_group.q6a","mcc.secC_group.q8","mcc.secC_group.q14","mcc.secC_group.q15","mcc.secC_group.q16","mcc.secC_group.q17","mcc.secC_group.q18","mcc.secC_group.q19","mcc.secC_group.q20","mcc.secC_group.q21","mcc.secC_group.q22","mcc.secC_group.q23","mcc.secC_group.q24","mcc.secC_group.q25","mcc.secC_group.q26","mcc.secC_group.q27","mcc.secC_group.q28","mcc.secC_group.q28b","mcc.secC_group.q28c","mcc.secC_group.q28d","mcc.secC_group.q28e","mcc.secC_group.secC_subgroup.q29","mcc.secC_group.secC_subgroup.q30","mcc.secC_group.secC_subgroup.q30a","mcc.secC_group.secC_subgroup.q30b","mcc.secC_group.secC_subgroup.q31","mcc.secC_group.secC_subgroup.q32","mcc.secC_group.secC_subgroup.q33","mcc.secC_group.q34","mcc.secC_group.q35","mcc.secC_group.q36","mcc.secC_group.q37","mcc.secC_group.q38","mcc.secC_group.q39.1","mcc.secC_group.q39.2","mcc.secC_group.q39.3","mcc.secC_group.q39.4","mcc.secC_group.q39.5","mcc.secC_group.q39.6","mcc.secC_group.q39.7","mcc.secC_group.q39.8","mcc.secC_group.q39.9","mcc.secC_group.q39.10","mcc.secC_group.q39.11","mcc.secC_group.q39.96","mcc.secC_group.q39.98","mcc.secC_group.q41","mcc.secC_group.q42","mcc.secC_group.q43","mcc.secD_group.q49","mcc.secD_group.q50","mcc.secD_group.q51","mcc.secD_group.q52","mcc.secD_group.q53","mcc.secD_group.q54","mcc.secD_group.q55","mcc.secD_group.q56","mcc.secD_group.q57","mcc.secD_group.q58","mcc.secD_group.q59","mcc.secD_group.q60","mcc.secD_group.q61","mcc.secD_group.q62","mcc.secD_group.q63","mcc.secD_group.q64","mcc.secD_group.q65","mcc.secD_group.q66","mcc.secD_group.q67","mcc.secD_group.q68","mcc.secD_group.q69","mcc.secD_group.q70","mcc.secD_group.q71","mcc.secD_group.q72","mcc.secD_group.q73","mcc.secD_group.q74","mcc.secD_group.q75","mcc.secD_group.q76","mcc.secD_group.q88","mcc.secD_group.q89","mcc.secD_group.q90","mcc.secD_group.q91","mcc.secD_group.q92","mcc.secD_group.q93","mcc.secD_group.q94","mcc.secD_group.q95","mcc.secD_group.q96","mcc.secD_group.q97","mcc.secE_group.q98","mcc.secE_group.q99","mcc.secE_group.q100","mcc.secE_group.q101","mcc.secE_group.q102","mcc.secE_group.q102b","mcc.secE_group.q102c","mcc.secF_group.c1","mcc.secF_group.x1","mcc.secF_group.c6","mcc.secF_group.x3","mcc.secF_group.c11","mcc.secF_group.x5","mcc.secF_group.c13","mcc.secF_group.x7","mcc.secF_group.c16","mcc.secF_group.x9","mcc.secF_group.c2","mcc.secF_group.x11","mcc.secF_group.x13","mcc.secF_group.x18","mcc.secF_group.c3","mcc.secF_group.x21","mcc.secF_group.x23","mcc.secF_group.x28","mcc.secF_group.c4","mcc.secF_group.x31","mcc.secF_group.x33","mcc.secF_group.x38","mcc.secF_group.c5","mcc.secF_group.x41","mcc.secF_group.x43","mcc.secF_group.x44","mcc.secF_group.c7","mcc.secF_group.x51","mcc.secF_group.x48","mcc.secF_group.c8","mcc.secF_group.x61","mcc.secF_group.x62","mcc.secF_group.c9","mcc.secF_group.x71","mcc.secF_group.x73","mcc.secF_group.x78","mcc.secF_group.c10","mcc.secF_group.x81","mcc.secF_group.x83","mcc.secF_group.x88","mcc.secF_group.c12","mcc.secF_group.x91","mcc.secF_group.x93","mcc.secF_group.x98","mcc.secF_group.c14","mcc.secF_group.x101","mcc.secF_group.x103","mcc.secF_group.x108","mcc.secF_group.c15","mcc.secF_group.x111","mcc.secF_group.x113","mcc.secF_group.x118","mcc.secF_group.c17","mcc.secF_group.c18.1","mcc.secF_group.c18.2","mcc.secF_group.c18.3","mcc.secF_group.c18.4","mcc.secF_group.c18.5","mcc.secF_group.c18.6","mcc.secF_group.c19.1","mcc.secF_group.c19.2","mcc.secF_group.c19.3","mcc.secF_group.c19.4","mcc.secF_group.c19.5","mcc.secF_group.c19.6","mcc.secF_group.c19.7","mcc.secF_group.c19.8","mcc.secF_group.c19.96","mcc.secF_group.c154","mcc.secF_group.c155.1","mcc.secF_group.c155.2","mcc.secF_group.c155.3","mcc.secF_group.c155.4","mcc.secF_group.c155.5","mcc.secF_group.c155.96","mcc.secF_group.c155.98","mcc.secF_group.c158","mcc.secF_group.c159","mcc.secF_group.c163","mcc.secF_group.c164","mcc.secF_group.c169x","mcc.secF_group.c169x2","mcc.secF_group.c169x1","mcc.secF_group.c170","mcc.secF_group.c171.1","mcc.secF_group.c171.2","mcc.secF_group.c171.3","mcc.secF_group.c172","mcc.secF_group.c173","mcc.secF_group.c174.1","mcc.secF_group.c174.2","mcc.secF_group.c174.3","mcc.secF_group.c174.4","mcc.secF_group.c174.5","mcc.secF_group.c174.96","mcc.secF_group.c180","mcc.secF_group.c181","mcc.secF_group.c182","mcc.secG_group.f01","mcc.secG_group.f02","mcc.secG_group.f03","mcc.secG_group.f04","mcc.secG_group.f05","mcc.secH_group.g01","mcc.secH_group.g02","mcc.secH_group.g03","mcc.secH_group.g04","mcc.secH_group.g05","mcc.secH_group.g06","mcc.secH_group.g07","mcc.secH_group.g08","mcc.secH_group.g09","mcc.secH_group.g10","mcc.secH_group.g11"
"KYANKWANZI","M_61","C",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","1","5","2","30","2000","0","n/a","3","3","n/a","6000","20","90","07:00:00.000+03:00","1","0","0","0","1","1","2","3","2","9200","2","3","1","2","n/a","2","11:00:00.000+03:00","3","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","800","2000","20","2000","0","0","0","0","2000","0","0","1000","3","1","600","2800","30","2800","0","0","0","0","2800","0","0","800","3","0","0","0","0","999","0","4","0","2","0","3","3","0","2","0","1500000","0","1","1","2","1","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","1","98","1","2","n/a","n/a","1","False","True","True","1","3","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","2","2","2","2","2","2","2","2","2","4","2"
"KYANKWANZI","M_56","C",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","2","2","25","1750","0","n/a","3","3","n/a","10400","35","80","08:00:00.000+03:00","1","0","0","0","2","2","6","6","7","24000","2","3","3","2","n/a","1","11:00:00.000+03:00","3","True","False","False","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1100","800","25","800","0","0","0","0","0","0","0","800","999","1","1200","3000","25","2500","0","0","0","0","0","0","999","999","999","3","2","0","0","0","0","3","1","2","1","3","0","0","2","1","600000","500000","1","3","2","3","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","1","98","1","2","n/a","n/a","1","False","True","True","1","2","False","False","False","False","False","True","2","n/a","n/a","1","4","2","n/a","n/a","1","1","1","1","1","2","2","2","4","3","3"
"KYANKWANZI","M_52","C",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Other","1","4","2","2","30","2000","3","200","3","2","200","3450","45","80","08:30:00.000+03:00","3","1","0","0","1","1","5","5","4","13800","3","3","1","1","999","1","11:30:00.000+03:00","3","True","False","False","True","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1150","1500","25","1500","0","0","0","0","1500","0","0","1400","1","1","700","3000","30","3000","0","0","0","0","3000","0","0","900","1","3","3","0","0","0","0","2","0","0","2","4","3","0","1","0","940000","0","1","1","1","3","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","2","3","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","3","1","2","n/a","n/a","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","1","1","2","n/a","n/a","2","2","2","2","2","2","2","2","3","3","3"
"KYANKWANZI","M_66","C",1,"2","1",1,"Female","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","1","2","50","3000","0","n/a","3","3","n/a","3500","55","100","08:00:00.000+03:00","2","0","0","0","2","2","2","2","2","5000","2","2","2","2","n/a","1","12:00:00.000+03:00","3","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1200","2000","30","2000","0","0","0","0","2000","0","0","1300","1","1","800","3500","50","3500","0","0","0","0","3500","0","0","830","1","10","10","0","0","0","0","2","1","0","2","3","2","1","0","0","1500000","999","1","1","2","2","3","n/a","3","n/a","3","n/a","1","1","25000000","2","2","2","1000000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","1","2","2","2","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","True","False","False","False","False","False","False","False","False","False","False","True","True","False","False","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","1","20000000","4","1","1","1","2","2","2","2","2","4","5","5"
"KYANKWANZI","M_62","C",2,"n/a","n/a",1,"n/a","n/a","2020-02-01","True","False","False","False","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"KYANKWANZI","M_53","C",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","1","2","27","88","0","n/a","3","1","300","6000","30","45","06:00:00.000+03:00","2","0","0","0","1","1","3","3","3","7000","3","1","1","2","n/a","1","11:00:00.000+03:00","3","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1300","1800","20","1800","0","0","0","0","1800","0","0","1500","1","3","800","2500","27","2500","2500","0","0","0","2500","0","0","1000","2","6","6","0","0","20","0","1","0","3","2","1","0","1","0","0","0","320000","1","4","1","1","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","1","15000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","1","False","True","True","1","2","False","False","False","False","False","True","1","1","1","1","4","2","n/a","n/a","2","2","2","2","2","2","2","2","4","4","5"
"NAKASEKE","M_76","C",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","1","1","2","1","n/a","n/a","18","1500","3","3","n/a","12000","55","100","08:30:00.000+03:00","1","2","0","0","1","2","2","2","1","16000","2","3","3","2","n/a","1","13:00:00.000+03:00","3","True","False","True","False","False","False","False","False","False","False","False","False","False","1","1","96","1","1100","1250","15","1250","0","0","0","0","1250","0","0","1200","1","1","800","12000","18","1200","2900","0","4100","0","5000","0","0","900","3","5","5","0","0","3","0","2","0","2","2","2","2","0","0","0","300000","0","3","n/a","3","n/a","2","1","2","2","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","3","2","2","2","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","False","True","False","False","False","False","False","2","1","5","2","2","n/a","n/a","1","False","True","True","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","1","1","2","n/a","2","n/a","n/a","2","2","2","2","2","2","2","2","2","1","4"
"NAKASEKE","M_83","C",1,"2","1",1,"Female","6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Secretary","2","n/a","98","2","20","2500","0","n/a","3","3","n/a","17000","25","30","09:30:00.000+03:00","0","0","0","0","1","3","7","5","4","999","2","2","2","2","n/a","2","12:30:00.000+03:00","3","False","False","True","False","False","False","False","False","False","False","False","False","False","1","999","96","1","1000","4000","20","4000","0","0","0","0","4000","0","0","999","2","1","800","3500","20","3500","0","0","0","0","3500","0","0","999","2","2","2","0","0","0","0","1","0","2","1","3","2","1","0","0","999","999","1","2","2","3","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","False","False","False","False","False","True","False","3","n/a","n/a","n/a","2","n/a","n/a","1","False","True","True","1","2","False","False","False","False","True","False","1","1","1","2","n/a","2","n/a","n/a","2","2","2","2","2","2","2","2","3","3","4"
"KIRUHURA","M_18","SW",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","1","2","4","700","18","1400","2","2","1000","2960","30","85","07:05:00.000+03:00","0","1","0","0","1","1","2","1","1","6000","2","1","3","2","n/a","2","11:30:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","900","1000","23","1000","0","0","1000","0","0","0","0","1000","1","1","900","2500","16","2500","0","0","2500","0","0","0","0","1100","1","8","7","1","0","0","0","2","1","0","2","2","2","0","0","0","300000","999","2","1","2","1","2","1","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","1","2","n/a","n/a","1","1","2","2","2","2","2","2","3","3","4"
"KIRUHURA","M_14","SW",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","1","2","10","500","15","1500","3","3","n/a","2000","60","90","07:00:00.000+03:00","999","1","0","0","1","1","1","1","1","5000","2","2","2","2","n/a","2","11:00:00.000+03:00","4","False","False","False","True","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","900","1800","16","1800","0","0","1800","0","0","0","0","1000","1","1","900","2300","16","2300","0","0","2300","0","0","0","0","1100","1","10","8","0","2","12","0","2","0","0","3","2","2","0","0","0","600000","0","1","1","1","3","3","n/a","2","3","3","n/a","3","n/a","n/a","n/a","2","3","400000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","3","100000","2","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","1","1","2","n/a","n/a","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","1","1","2","2","2","2","2","2","3","3","3"
"KIRUHURA","M_10","SW",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","5","2","7","3000","7","70","3","1","300","5300","60","95","06:30:00.000+03:00","3","3","0","0","1","2","3","3","3","20000","1","3","3","2","n/a","1","12:30:00.000+03:00","4","False","False","False","True","False","False","False","False","False","False","False","False","False","1","5","1","1","1200","2000","17","2000","200","0","0","0","2000","0","0","1300","7","1","500","5300","17","5300","0","0","0","0","5300","0","0","500","17","50","50","0","0","0","0","3","3","2","1","3","2","1","0","0","250000","300000","1","1","1","3","1","1","3","n/a","3","n/a","2","1","450000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","3","150000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","1","True","True","True","1","1","True","False","False","False","False","False","1","1","2","1","4","2","n/a","n/a","2","2","2","2","2","2","2","2","4","4","4"
"KIRUHURA","M_35","SW",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","1","4","2","3","1000","0","n/a","3","2","1000","3000","60","90","07:30:00.000+03:00","1","2","0","0","1","1","2","2","1","5100","2","2","2","2","n/a","1","11:30:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1200","1500","3","1500","0","0","0","0","1500","0","0","1000","0","1","800","2500","3","2500","0","0","0","0","2500","0","0","900","1","20","18","0","0","0","0","2","1","1","3","3","2","1","0","0","150000","300000","1","1","2","1","2","1","3","n/a","2","3","2","2","400000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","1","False","True","True","1","3","True","False","False","False","False","False","1","1","2","2","n/a","2","n/a","n/a","2","1","2","2","2","2","2","2","4","4","2"
"KYANKWANZI","M_52","C",1,"2","1",1,"Male","6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Other","2","n/a","5","2","50","1700","0","n/a","3","3","n/a","5100","30","50","07:00:00.000+03:00","1","1","0","0","1","1","3","3","3","13580","3","3","3","2","n/a","1","11:30:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","900","1500","1","1500","0","0","0","0","1500","0","0","999","1","1","1000","2400","60","2400","0","0","0","0","2400","0","0","999","1","1","1","0","0","1","0","1","1","1","1","2","1","0","1","0","300000","0","1","1","3","n/a","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","1","40000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","3","98","2","2","n/a","n/a","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","2","2","2","2","2","2","2","2","3","3","2"
"NAKASEKE","M_74","C",2,"n/a","n/a",1,"n/a","n/a","2018-12-01","True","False","False","False","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"NAKASEKE","M_91","C",1,"2","1",1,"Male","4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Other","2","n/a","1","2","14","2200","0","n/a","3","3","n/a","6400","25","60","08:30:00.000+03:00","2","0","0","0","1","2","8","6","6","40000","2","3","3","2","n/a","1","12:30:00.000+03:00","3","False","True","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1250","1200","7","1200","0","0","0","0","1200","0","0","999","3","1","1000","3000","14","3000","0","0","0","0","3000","0","0","999","3","1","1","0","0","0","0","2","1","1","2","2","2","0","0","0","999","0","1","3","2","2","3","n/a","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","2","200000","2","3","n/a","n/a","n/a","1","3","2","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","1","150000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","3","98","1","2","n/a","n/a","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","3","2","n/a","n/a","2","2","2","2","2","2","2","2","2","2","3"
