"","today","region","district","hh_id","shed","a13","b01","b02","b02.1","b02.2","b02.3","b02.4","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"11","2020-12-03","Western","KIRUHURA","T_69","SW",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"12","2020-12-01","Western","KIRUHURA","T_9","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",600,1300,346750,"Liters",300,1200,273750,-0.210526315789474,"11",1,0,0,0,0,0,"",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,1,"",2,3,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,"cans",3,3,6,1,1,1,1,1,2,2,2,4,1,"2 4",0,1,0,1,0,"",4,"",NA,NA,NA,NA,"",3,4
"13","2020-12-04","Western","NAKASEKE","T_668","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",100,200,54750,"Liters",200,200,73000,0.333333333333333,"11",1,0,0,0,0,0,"",2,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",1,1,"",1,1,"",3,1,80,99,"His own farm.",3,NA,2,2,NA,2,2,2,2,2,4,2,2,1,1,1,1,2,1,"Help with motorbikes in case of mechanical problems.",2,4,0,1,1,1,2,1,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,3
"14","2020-12-01","Western","KIRUHURA","T_75","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",150,400,100375,"Liters",160,450,111325,0.109090909090909,"11",1,0,0,0,0,0,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",5,2,NA,1,"",4,3,2,2,NA,2,1,2,1,1,2,6,6,2,2,NA,2,1,2,"",3,2,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,5
"15","2020-12-02","Western","MBARARA","T_91","SW",2,"2019-01-01","3",0,0,1,0,0,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"16","2020-12-03","Western","MBARARA","T_123","SW",2,"2020-03-01","3 4",0,0,1,1,0,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"2021-03-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"17","2020-12-04","Western","KIBOGA","T_294","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",80,200,51100,"Liters",80,80,29200,-0.428571428571429,"11",1,0,0,0,0,0,"",2,1,0,0,1,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,4,"",3,2,NA,1,"",4,2,1,1,1,2,2,2,1,1,2,6,6,1,1,1,1,2,2,"",3,2,0,1,1,1,1,1,2,2,2,5,1,"4 3 99",0,0,1,1,1,"pandemic reduced milk suppliers as most of them opted their children that were home to be taking for them the milk to the diaries",4,"",NA,NA,NA,NA,"",5,2
"18","2020-12-01","Western","KYANKWANZI","T_269","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",350,600,173375,"Liters",500,500,182500,0.052631578947369,"",NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,1,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",5,1,40,1,"",1,2,2,2,NA,2,2,2,2,2,3,6,6,2,2,NA,1,1,2,"",3,3,0,2,2,2,1,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,5
"19","2020-12-02","Western","KIRUHURA","T_151","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",150,350,91250,"Liters",120,170,52925,-0.42,"11",1,0,0,0,0,0,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,1,"",2,2,NA,1,"",4,2,2,2,NA,2,2,2,2,1,4,2,2,1,1,2,1,2,2,"",3,4,15,1,2,1,2,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,2
"20","2020-12-05","Western","KIRUHURA","T_12","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",300,600,164250,"Liters",300,800,200750,0.222222222222222,"14",0,0,0,1,0,0,"",1,1,1,0,0,0,4,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,3,"",2,NA,"",1,1,12,1,"",2,1,1,2,NA,2,2,1,1,1,3,6,6,1,1,1,1,2,2,"",2,2,10,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4
