"","today","region","district","hh_id","shed","a13","b01","b02","b02.1","b02.2","b02.3","b02.4","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c01","c02","c03","c04","c04a","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.1","c07.4","c07.5","c07.6","c07.7","c07.8","c07.99","c07.11","c07.12","c07.13","c07.14","c07.15","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e08","e09","e10","e11","e12","e12.1","e12.2","e12.3","e12.4","e12.99","e12a","e13","e14","e15","e16","e17","e17.1","e17.2","e17.3","e17.4","e17.99","e17a","e18","e18a","e19","e20","f01_dry","f01_rain","f01","f02_dry","f02_rain","f02","f02_calc","f04","f04_other","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11d","f11e","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15","e21","e22","e23","e24","e25","e26","e27","e28","f11c_other"
"295","2020-12-01","Western","NAKASEKE","F_1370","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,100,200,54750,"Liters",100,200,54750,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,3,0,4,0,4,NA,2,"5",0,0,0,0,1,0,"",2,NA,"",2,NA,"",3,1,100,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,100,200,54750,100,200,54750,0,NA,"",2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,4,1,"2 4",0,1,0,1,0,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","2020-11-26","Western","MASINDI","F_1228","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,50,2,45,60,19162.5,"Liters",42,35,14052.5,-0.266666666666667,"8 1",1,0,0,0,0,1,0,NA,NA,NA,NA,NA,"",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,5,"",3,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,2,2,"4",0,0,0,1,0,"",3,"",2,1,40,55,17337.5,37,30,12227.5,-0.294736842105263,2,"",2,2,2,2,2,NA,2,1,2,1,2,2,1,10,2,1,1,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","2020-12-07","Western","KIRUHURA","F_323","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,30,40,12775,"Liters",30,50,14600,0.142857142857143,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,1,0,2,0,4,NA,2,"3",0,0,1,0,0,0,"",2,NA,"",2,NA,"",4,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",99,NA,15,25,7300,15,25,7300,0,NA,"",99,1,1,2,2,NA,2,2,2,2,2,3,3,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","2020-12-01","Western","MASINDI","F_916","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Other commodity","Maize",1,999,2,4,7,2007.5,"Liters",0,0,0,-1,"4 6",0,1,0,1,0,0,0,NA,NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,4,"",2,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,2,NA,2,"3 4",0,0,1,1,0,"",3,"",3,NA,2,4,1095,0,0,0,-1,3,"",5,3,NA,2,NA,NA,2,2,2,2,2,2,3,30,2,1,2,2,2,2,2,2,4,1,"3 4 2",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","2020-11-28","Western","KYANKWANZI","F_675","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,10,20,5475,"Liters",10,10,3650,-0.333333333333333,"5",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",4,2,NA,1,2,NA,3,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,0,10,1825,0,0,0,-1,2,"",3,4,NA,2,NA,NA,2,2,2,2,2,3,4,40,1,1,1,1,1,1,1,2,4,1,"4",0,0,0,1,0,"",4,"",NA,NA,NA,NA,"",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","2020-11-25","Western","KIRUHURA","F_21","",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Bananas","Milk",3,23,2,16,35,9307.5,"Liters",17,40,10402.5,0.117647058823529,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,2,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,1,"",1,1,"",3,1,80,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,4,3,"",NA,NA,NA,NA,NA,"",3,"",2,3,10,30,7300,12,35,8577.5,0.175,2,"",2,2,2,1,1,1,2,2,2,1,1,4,5,1,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","2020-11-27","Western","MASINDI","F_1307","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,200,400,109500,"Liters",60,80,25550,-0.766666666666667,"1 4",1,1,0,0,0,0,0,NA,NA,NA,NA,NA,"",2,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,2,NA,2,"3 4",0,0,1,1,0,"",3,"",3,NA,180,350,96725,20,70,16425,-0.830188679245283,1,"",3,2,2,2,2,NA,2,2,2,2,2,4,4,0,1,1,1,2,2,2,2,2,4,1,"4 3",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","2020-11-30","Western","MASINDI","F_428","",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Maize","Maize",NA,50,2,20,50,12775,"Liters",15,25,7300,-0.428571428571429,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,8,0,7,0,2,NA,2,"4 5",0,0,0,1,1,0,"",1,3,"",1,3,"",3,1,300,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,3,"",NA,NA,NA,NA,NA,"",3,"",2,3,15,45,10950,10,20,5475,-0.5,1,"",4,1,1,2,2,NA,2,2,2,2,2,3,3,0,2,1,1,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","2020-11-24","Western","KIBOGA","F_402","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","2020-11-24","Western","KYANKWANZI","F_652","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,3,2,6,18,4380,"Liters",6,20,4745,0.083333333333333,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,1,2,NA,3,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",1,1,0,0,0,0,10,1825,NA,3,"",3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,99,4,30,2,1,2,2,1,1,2,1,5,1,"3 1 4",1,0,1,1,0,"",4,"",NA,NA,NA,NA,"",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","2020-11-24","Western","KIBOGA","F_484","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Coffee","Coffee",NA,2.5,1,6,12,3285,"Liters",1,2,547.5,-0.833333333333333,"6",0,0,0,1,0,0,0,NA,NA,NA,NA,NA,"",2,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",1,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,0,0,0,0,0,0,NA,NA,"",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,1,1,1,1,1,1,1,2,4,1,"3 2",0,1,1,0,0,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","2020-12-01","Western","MASINDI","F_924","C",2,"2018-10-01","3",0,0,1,0,0,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"2021-05-01","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","2020-11-25","Western","KIBOGA","F_375","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Maize","Maize",NA,6,2,8,10,3285,"Liters",8,10,3285,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",1,3,"",1,3,"",3,1,7,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,5,7,2190,7,9,2920,0.333333333333333,1,"",3,4,4,2,2,NA,2,2,2,2,1,3,3,0,2,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","2020-11-24","Western","KYANKWANZI","F_882","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Bananas",1,5,2,8,20,5110,"Liters",5,20,4562.5,-0.107142857142857,"7 5",0,0,1,0,1,0,0,NA,NA,NA,NA,NA,"",2,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",5,1,12,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,1,"2 3",0,1,1,0,0,"",3,"",3,NA,5,15,3650,0,10,1825,-0.5,3,"",5,2,2,1,1,1,2,2,2,1,2,3,3,0,2,2,2,2,1,1,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","2020-11-27","Western","MASINDI","F_1101","",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,180,200,69350,"Liters",200,280,87600,0.263157894736842,"5 1",1,0,1,0,0,0,0,NA,NA,NA,NA,NA,"",1,1,0,0,4,0,4,NA,1,"5",0,0,0,0,1,0,"",2,NA,"",2,NA,"",2,1,30,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,4,1,"4",0,0,0,1,0,"",3,"",4,1,160,180,62050,180,260,80300,0.294117647058823,3,"",5,1,1,2,2,NA,2,2,1,1,1,3,2,0,2,2,2,2,2,2,2,2,2,1,"3",0,0,1,0,0,"",4,"",NA,NA,NA,NA,"",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","2020-11-26","Western","KYANKWANZI","F_528","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Maize",3,8,2,5,8,2372.5,"Liters",0,0,0,-1,"8 6",0,0,0,1,0,1,0,NA,NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",1,99,"village saving group",1,4,"",3,2,NA,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,4,2,"1 4",1,0,0,1,0,"",3,"",3,NA,3,5,1460,0,0,0,-1,1,"",4,4,NA,1,NA,NA,2,2,2,2,1,3,1,15,2,2,2,2,2,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","2020-11-24","Western","KIBOGA","F_399","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,10,2,10,20,5475,"Liters",5,7,2190,-0.6,"1 5 6",1,0,1,1,0,0,0,NA,NA,NA,NA,NA,"",2,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,1,350,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",99,"Subcounty doctor",2,2,8,18,4745,4,6,1825,-0.615384615384615,1,"",4,1,1,1,1,3,2,2,2,1,2,3,5,2,2,2,2,2,2,2,2,2,5,1,"4",0,0,0,1,0,"",4,"",NA,NA,NA,NA,"",5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
