"","today","region","district","hh_id","shed","a13","b01","b02","b02.1","b02.2","b02.3","b02.4","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c01","c02","c03","c04","c04a","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.1","c07.4","c07.5","c07.6","c07.7","c07.8","c07.99","c07.11","c07.12","c07.13","c07.14","c07.15","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e08","e09","e10","e11","e12","e12.1","e12.2","e12.3","e12.4","e12.99","e12a","e13","e14","e15","e16","e17","e17.1","e17.2","e17.3","e17.4","e17.99","e17a","e18","e18a","e19","e20","f01_dry","f01_rain","f01","f02_dry","f02_rain","f02","f02_calc","f04","f04_other","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11d","f11e","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15","e21","e22","e23","e24","e25","e26","e27","e28","f11c_other"
"1","2020-11-25","Western","KIRUHURA","F_68","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,20,2,15,35,9125,"Liters",15,40,10037.5,0.1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,2,0,0,0,4,NA,1,"4",0,0,0,1,0,0,"",1,4,"",1,4,"",4,1,50,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,10,25,6387.5,10,30,7300,0.142857142857143,1,"",3,2,2,1,1,1,2,2,2,2,2,3,3,0,1,1,1,1,1,1,1,1,4,1,"4 3",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-25","Western","KIRUHURA","F_216","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,66,3,55,110,30112.5,"Liters",65,120,33762.5,0.121212121212121,"1 4 6",1,1,0,1,0,0,0,NA,NA,NA,NA,NA,"",3,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,2,2,"3 4 1",1,0,1,1,0,"",5,"",3,NA,50,100,27375,60,110,31025,0.133333333333333,3,"",2,2,2,1,1,1,2,2,2,2,1,2,3,0,1,2,2,2,2,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24","Western","KIRUHURA","F_276","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,30,2,20,45,11862.5,"Liters",15,35,9125,-0.230769230769231,"1 8",1,0,0,0,0,1,0,NA,NA,NA,NA,NA,"",3,1,3,1,60,10,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,4,"",2,NA,"",3,1,60,1,1,2,3,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",2,"",3,NA,15,40,10037.5,10,30,7300,-0.272727272727273,2,"",4,2,2,2,2,NA,2,2,2,2,2,3,3,0,2,1,1,2,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-27","Western","KYANKWANZI","F_802","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,5,20,4562.5,"Liters",3,15,3285,-0.28,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,1,30,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,3,15,3285,0,8,1460,-0.555555555555556,99,"I have fewer animals",2,1,1,1,1,1,2,2,2,2,2,1,3,0,1,1,1,1,1,1,2,1,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-28","Western","KYANKWANZI","F_802","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,600,500,200750,"Liters",600,750,246375,0.227272727272727,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,8,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,2,3,"",NA,NA,NA,NA,NA,"",3,"",3,NA,780,480,229950,580,730,239075,0.03968253968254,NA,"",2,2,2,1,1,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26","Western","MASINDI","F_1339","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,40,80,21900,"Liters",80,60,25550,0.166666666666667,"8 1 99",1,0,0,0,0,1,1,NA,NA,NA,NA,NA,"Too much flies leading to little milk bse of spending most time chssing flies",3,1,5,0,2,0,2,NA,1,"5",0,0,0,0,1,0,"",2,NA,"",2,NA,"",99,1,18,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,4,3,"",NA,NA,NA,NA,NA,"",3,"",3,NA,30,70,18250,70,50,21900,0.2,1,"",3,1,1,2,2,NA,2,2,2,2,2,1,2,0,2,1,2,2,2,2,2,2,4,1,"99",0,0,0,0,1,"G",4,"",NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-02","Western","MASINDI","F_1141","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-30","Western","NAKASEKE","F_1473","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,20,30,9125,"Liters",15,10,4562.5,-0.5,"6 1",1,0,0,1,0,0,0,NA,NA,NA,NA,NA,"",3,1,2,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,99,"village saving group",2,NA,"",3,1,200,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",4,3,15,25,7300,10,5,2737.5,-0.625,1,"",5,2,2,2,2,NA,2,2,2,2,1,3,5,0,1,1,1,1,2,2,2,2,4,1,"3 4 2",0,1,1,1,0,"",1,"2",0,1,0,0,"",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26","Western","KIRUHURA","F_114","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,100,2,50,100,27375,"Liters",50,120,31025,0.133333333333333,"5",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,4,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",2,1,34,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,45,95,25550,45,115,29200,0.142857142857143,1,"",4,2,2,1,1,1,2,2,2,2,1,3,2,0,2,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-28","Western","MASINDI","F_922","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,20,30,9125,"Liters",20,10,5475,-0.4,"8 99",0,0,0,0,0,1,1,NA,NA,NA,NA,NA,"Cows stopped breastfeeding",3,1,1,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,4,"",2,NA,"",4,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",2,3,10,20,5475,10,5,2737.5,-0.5,1,"",3,4,4,2,2,NA,2,2,2,2,2,2,3,0,2,2,1,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-30","Western","MASINDI","F_858","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Beans","Beans",NA,999,2,3,6,1642.5,"Liters",3,6,1642.5,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,1,10,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",2,3,2,3,912.5,2,3,912.5,0,NA,"",3,4,4,2,2,NA,2,2,2,2,2,3,3,10,2,2,2,2,2,2,2,2,2,1,"99",0,0,0,0,1,"Spent less on school fees",3,"2",0,1,0,0,"",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24","Western","KIRUHURA","F_253","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,100,2,50,140,34675,"Liters",60,160,40150,0.157894736842105,"1 7",1,0,0,0,1,0,0,NA,NA,NA,NA,NA,"",3,1,2,1,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,99,"European Union",2,1,61,2,1,NA,3,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",4,1,50,130,32850,50,150,36500,0.111111111111111,2,"",2,2,2,1,1,3,2,2,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",2,"1",1,0,0,0,"",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-04","Western","KYANKWANZI","F_607","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,9,15,4380,"Liters",10,18,5110,0.166666666666667,"1 6",1,0,0,1,0,0,0,NA,NA,NA,NA,NA,"",3,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,2,"4",0,0,0,1,0,"",3,"",4,2,5,10,2737.5,5,14,3467.5,0.266666666666667,1,"",3,4,4,2,2,NA,2,2,2,2,2,3,2,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-25","Western","KIRUHURA","F_31","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Beans","Milk",3,15,2,6,8,2555,"Liters",5,8,2372.5,-0.071428571428572,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,1,"",1,1,"",3,2,NA,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,2,3,"",NA,NA,NA,NA,NA,"",3,"",3,NA,3,5,1460,3,6,1642.5,0.125,1,"",4,2,2,2,2,NA,2,2,2,1,2,3,4,0,2,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",5,"2 1",1,1,0,0,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-25","Western","KIRUHURA","F_22","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,20,2,20,30,9125,"Liters",15,20,6387.5,-0.3,"8",0,0,0,0,0,1,0,NA,NA,NA,NA,NA,"",3,1,1,0,0,0,2,NA,2,"5 2 4",0,1,0,1,1,0,"",1,2,"",2,NA,"",4,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,25,25,9125,10,15,4562.5,-0.5,1,"",4,2,2,1,1,1,2,2,2,2,1,3,5,0,2,2,2,2,2,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",6,"1",1,0,0,0,"",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-27","Western","MASINDI","F_1226","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,80,150,41975,"Liters",100,50,27375,-0.347826086956522,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,4,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,3,"",1,3,"",3,1,16,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,60,130,34675,80,30,20075,-0.421052631578947,4,"",4,2,2,1,1,1,2,2,2,2,1,3,4,6,1,1,1,1,1,2,2,2,4,1,"3 2",0,1,1,0,0,"",4,"",NA,NA,NA,NA,"",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-25","Western","KIRUHURA","F_313","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,50,2,50,120,31025,"Liters",50,150,36500,0.176470588235294,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,2,1,"4 99",0,0,0,1,1,"F",3,"",3,NA,45,115,29200,45,140,33762.5,0.15625,99,"H",4,2,2,2,2,NA,2,1,2,2,2,3,5,0,2,1,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-26","Western","MASINDI","F_1013","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,2.5,2,10,16,4745,"Liters",10,9,3467.5,-0.269230769230769,"7 6",0,0,0,1,1,0,0,NA,NA,NA,NA,NA,"",3,1,1,0,3,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",4,1,30,1,1,4,1,"4 3",0,0,1,1,0,"",1,1,4,1,"3 4",0,0,1,1,0,"",3,"",3,NA,8,14,4015,6,5,2007.5,-0.5,99,"Poor feeding ",2,4,4,1,1,1,2,2,2,1,2,4,5,40,1,2,1,2,1,2,2,2,5,1,"1 2 3",1,1,1,0,0,"",4,"",NA,NA,NA,NA,"",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-30","Western","KYANKWANZI","F_554","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Maize","Maize",NA,999,2,8,26,6205,"Liters",4,5,1642.5,-0.735294117647059,"99",0,0,0,0,0,0,1,NA,NA,NA,NA,NA,"Fewer cows that were producing milk",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",2,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",2,1,0,0,0,0,0,0,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-24","Western","KIRUHURA","F_266","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Beans","Milk",2,17,2,18,28,8395,"Liters",18,33,9307.5,0.108695652173913,"1 8 6",1,0,0,1,0,1,0,NA,NA,NA,NA,NA,"",2,1,2,0,144,200,4,NA,2,"3 5 4 2",0,1,1,1,1,0,"",1,4,"",2,NA,"",3,1,110,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,2,"3 4 1",1,0,1,1,0,"",3,"",4,1,15,25,7300,15,30,8212.5,0.125,1,"",4,2,2,2,2,NA,2,2,2,2,2,3,4,2,1,1,1,2,1,2,2,2,4,1,"3 4 2",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-24","Western","KIRUHURA","F_325","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Beans","Beans",NA,10,2,15,18,6022.5,"Liters",10,7,3102.5,-0.484848484848485,"1",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,"",3,1,0,0,1,2,2,NA,2,"3",0,0,1,0,0,0,"",1,3,"",2,NA,"",3,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,3,"",NA,NA,NA,NA,NA,"",3,"",4,1,12,15,4927.5,7,5,2190,-0.555555555555556,1,"",4,1,1,1,1,2,2,2,2,2,2,3,4,0,1,2,2,1,2,2,2,2,5,1,"3 2 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-24","Western","KIRUHURA","F_314","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Bananas",3,4,2,20,30,9125,"Liters",15,5,3650,-0.6,"6 8",0,0,0,1,0,1,0,NA,NA,NA,NA,NA,"",3,1,0,0,3,0,2,NA,2,"5 3 2",0,1,1,0,1,0,"",2,NA,"",1,3,"",3,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,1,3,"",NA,NA,NA,NA,NA,"",3,"",2,2,20,30,9125,13,0,2372.5,-0.74,99,"The cows are pregnant",3,2,2,1,1,1,2,2,2,2,2,2,5,1,2,1,2,2,1,2,2,2,4,1,"4 3",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-25","Western","KIRUHURA","F_302","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,16,2,28,35,11497.5,"Liters",20,25,8212.5,-0.285714285714286,"6 8 7",0,0,0,1,1,1,0,NA,NA,NA,NA,NA,"",2,1,2,0,3,4,4,NA,2,"5 4 3 2",0,1,1,1,1,0,"",1,4,"",1,4,"",3,2,NA,1,1,4,2,"3 4",0,0,1,1,0,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,20,28,8760,15,20,6387.5,-0.270833333333333,99,"Some animals died and sold some to buy a land hence reduction in milk",4,1,1,2,2,NA,2,2,2,2,2,3,4,0,2,1,1,2,1,2,2,2,4,1,"4 3 2",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-30","Western","NAKASEKE","F_1543","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Bananas","Bananas",NA,999,2,10,20,5475,"Liters",20,10,5475,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",99,2,NA,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,10,20,5475,20,10,5475,0,NA,"",3,4,4,2,2,NA,2,2,2,2,2,4,4,0,2,2,2,2,2,2,2,2,4,1,"4",0,0,0,1,0,"",4,"",NA,NA,NA,NA,"",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-01","Western","MASINDI","F_789","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-26","Western","MASINDI","F_1175","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-27","Western","MASINDI","F_1232","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,30,60,16425,"Liters",40,80,21900,0.333333333333333,"99",0,0,0,0,0,0,1,NA,NA,NA,NA,NA,"Number of cows that have delivered",2,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,1,1,3,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,15,50,11862.5,30,70,18250,0.538461538461538,3,"",5,1,1,1,1,3,2,2,2,2,2,4,3,0,1,1,1,1,1,1,1,1,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-30","Western","MASINDI","F_803","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Maize","Maize",NA,10,2,10,20,5475,"Liters",20,10,5475,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,2,0,2,0,2,NA,2,"4 5",0,0,0,1,1,0,"",1,4,"",1,4,"",2,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,2,3,"",NA,NA,NA,NA,NA,"",3,"",2,1,8,15,4197.5,15,10,4562.5,0.086956521739131,NA,"",2,4,4,1,1,1,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,4,1,"3 99",0,0,1,0,1,"Schools were closed and thats where i used to sell my produce specifically maize",4,"",NA,NA,NA,NA,"",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-02","Western","MASINDI","F_852","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","Milk","Milk",NA,999,2,2,3,912.5,"Liters",1,4,912.5,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,0,0,0,4,NA,2,"5 3",0,0,1,0,1,0,"",2,NA,"",2,NA,"",99,2,NA,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,3,NA,"",NA,NA,NA,NA,NA,"",3,"",3,NA,0,0,0,0,0,0,NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,2,1,2,2,2,2,2,2,5,2,"",NA,NA,NA,NA,NA,"",1,"99",0,0,0,1,"Masks and Mosquito nets",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
